n_features,fold,mae_weighted,r2_weighted,mse_weighted
4,1,0.3231560053827443,0.704949740088985,0.310741584953896
4,2,0.3237820872074904,0.670112475362142,0.32478297488631974
4,3,0.3173410732815933,0.7017901479184304,0.3106808882920255
4,4,0.30493945950476836,0.720625898529895,0.26895768069368137
4,5,0.3126775026263551,0.6949737371939118,0.29204319933527323
5,1,0.3096964240861372,0.7209865584206145,0.29385189860862326
5,2,0.29944369869502735,0.6980322673697643,0.2972952027542959
5,3,0.3036431330147921,0.7166376184185512,0.2952125015446775
5,4,0.28435335366110803,0.7500728053207604,0.24060869733266774
5,5,0.3001854484977996,0.7062887952662895,0.2812097526355628
6,1,0.26217343169397145,0.8055020555675245,0.2048417091428764
6,2,0.25481832718579667,0.7948492702490476,0.20197630808184652
6,3,0.2643140695263631,0.7932620289475685,0.21538368381166606
6,4,0.24971179786314443,0.8110618899980528,0.18189358137840508
6,5,0.2563035480361835,0.7936626428672373,0.19755486417818738
7,1,0.24419352981466183,0.8180453005369208,0.1916313909298686
7,2,0.2323720318652871,0.8202872815290784,0.17693191457897073
7,3,0.2390358385442199,0.8342857935608397,0.1726443190919256
7,4,0.2321908166269069,0.8315324039297287,0.16218630743747983
7,5,0.23227012811962097,0.8306010934289055,0.16218865281895334
8,1,0.24174018788482624,0.8221075640883715,0.18735308859975391
8,2,0.231946645147031,0.8244631572351648,0.17282065473042954
8,3,0.240096582343047,0.8348906893756702,0.1720141267365627
8,4,0.2273458021723544,0.838895574441489,0.15509767161556884
8,5,0.2363172712155935,0.8231799560470903,0.16929391871885954
9,1,0.2415146986546442,0.8229067846646904,0.18651136397735235
9,2,0.2301723932310261,0.8256348862831958,0.1716670565566338
9,3,0.24047369399009833,0.8307771332945648,0.1762997103562727
9,4,0.2297378767992064,0.8304840443683362,0.1631955790724718
9,5,0.23028870169886426,0.8356715439285776,0.15733401973794311
10,1,0.23751247984124418,0.8329868368599611,0.1758952357403492
10,2,0.22520622768100457,0.8330374629436997,0.16437902445459598
10,3,0.2319775394613758,0.8431032265149958,0.16345814404260736
10,4,0.22140477318210044,0.8457902530936626,0.1484600600056921
10,5,0.2257541919615579,0.8465257043794141,0.1469418531257985
11,1,0.22963760602317002,0.837823902037994,0.17080092638301955
11,2,0.21865094272443922,0.8428218685976316,0.15474601884376832
11,3,0.22484016596923503,0.8424772944460338,0.16411025238120902
11,4,0.21700959611642057,0.8458285409767549,0.14842319968048315
11,5,0.21833087017529798,0.8516595800798491,0.14202649445880455
12,1,0.2298915203742768,0.8375904076845468,0.17104683840319485
12,2,0.21848520625149426,0.8439947605463859,0.15359127576351758
12,3,0.22525155882571063,0.8422148390713788,0.1643836835517947
12,4,0.21826761361202457,0.8443627546094368,0.14983433442658806
12,5,0.2181098777470305,0.8514486033918609,0.1422284911864909
13,1,0.2300470619467923,0.8375539724806994,0.17108521129937554
13,2,0.21849614587048344,0.8439216928527276,0.153663212836435
13,3,0.22626306097982402,0.8400222752465469,0.1666679396619831
13,4,0.21871063557860693,0.8443435006134609,0.14985287054025964
13,5,0.2187452302594612,0.8504611334599144,0.14317393068904422
