n_features,row_index,active_features,mae_weighted_mean,mae_weighted_std,r2_weighted_mean,r2_weighted_std,mse_weighted_mean,mse_weighted_std,mae_original_13d_mean,mae_original_13d_std,r2_original_13d_mean,r2_original_13d_std,knn_n_neighbors,knn_weights
4,9,"sst,A,B,C",0.3163792256005903,0.007845751341542691,0.6984903998186728,0.018440886840937247,0.30144126563223916,0.02156506954466364,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
5,8,"sst,sss,A,B,C",0.2994644115909729,0.009367766375234282,0.7184036089591961,0.019839913165538015,0.28163561057516545,0.023781197689158037,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
6,7,"sst,sss,A,B,C,T1",0.2574642348610918,0.0058639805271504955,0.7996675775258861,0.008126774707557707,0.20033002931859628,0.01221967835509374,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
7,6,"sst,sss,A,B,C,T0,T1",0.23601246899413933,0.005429858288013429,0.8269503745970945,0.007277160596997205,0.17311651697143962,0.012211352124446987,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
8,5,"sst,sss,mld_log,A,B,C,T0,T1",0.23548929775257038,0.005912976123475803,0.8287073882375571,0.007651078899616535,0.17131589208023493,0.011478921615171602,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
9,4,"sst,sss,sss_anomaly,mld_log,A,B,C,T0,T1",0.23443747287476785,0.006000260411086532,0.8290948785078729,0.004956721260520323,0.17100154594013478,0.011366643054738614,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
10,3,"sst,sss,sss_anomaly,chl_log,mld_log,A,B,C,T0,T1",0.22837104242545658,0.006363284623229048,0.8402886967583466,0.006763625391336034,0.15982686347380864,0.012117432362216666,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
11,2,"sst,sss,sss_anomaly,chl_log,mld_log,xco2_trend,A,B,C,T0,T1",0.2216938362017126,0.005373865377170419,0.8441222372276528,0.005093840183147507,0.1560213783494569,0.011609054216915972,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
12,1,"sst,sst_anomaly,sss,sss_anomaly,chl_log,mld_log,xco2_trend,A,B,C,T0,T1",0.22200115536210735,0.005344769787537678,0.843922273060722,0.004996318060675469,0.1562169246663172,0.011510104839719554,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
13,0,"sst,sst_anomaly,sss,sss_anomaly,chl_log,chl_log_anomaly,mld_log,xco2_trend,A,B,C,T0,T1",0.22245242692703354,0.005375776278670589,0.8432605149306699,0.00491196865886249,0.1568886330054195,0.011674502369469188,0.2696441612844631,0.0054817735030204704,0.779996979870889,0.013428228279710432,5,distance
